,nome,porcentagem_desconto,preco,tipo
582,far cry primal,0,89.99,padrao
583,decay  the mare,0,10.49,padrao
584,thehunter call of the wild  rancho del arroyo,0,15.99,dlc
585,thehunter call of the wild  te awaroa national park,0,15.99,dlc
586,dying light  astronaut bundle,53,3.05,dlc
587,conan exiles  blood and sand pack,0,24.99,dlc
588,golazo! soccer league,0,18.59,padrao
589,vampire the masquerade  coteries of new york,0,37.99,padrao
590,downwell,0,6.29,padrao
591,post scriptum,0,58.9,padrao
592,stories untold,0,19.99,padrao
593,aragami,0,36.99,padrao
594,strider,0,24.99,padrao
595,planet zoo tropical pack,14,20.69,dlc
596,batman  the telltale series,50,14.49,padrao
