,nome,porcentagem_desconto,preco,tipo
130,mortal kombat x  premium edition,85,25.34,padrao
131,ni no kuni ii revenant kingdom  season pass,0,59.9,dlc
132,ruiner,0,36.99,padrao
133,graveyard keeper,60,15.19,padrao
134,for the king double keys,0,75.98,padrao
135,resident evil revelations 2 deluxe edition,0,74.99,padrao
136,wildfrost,0,59.99,padrao
137,171,0,59.99,padrao
138,xbox  cartao presente digital 60 reais,0,60.0,padrao
139,arma 3,0,99.99,padrao
140,lego batman 2 dc super heroes,94,4.5,padrao
141,rain world,0,36.99,padrao
142,dragon ball z kakarot,0,159.9,padrao
143,blasphemous,75,14.97,padrao
144,euro truck simulator 2  brazilian paint jobs pack,0,2.49,dlc
145,batman arkham collection,85,41.99,padrao
146,sid meiers civilization v brave new world,0,44.99,dlc
147,lego star wars the force awakens  deluxe edition,94,6.5,pacote
148,ultimate marvel vs. capcom 3,0,54.99,padrao
149,euro truck simulator 2  italia,0,44.99,dlc
150,tekken 7,0,129.9,padrao
151,enigma do medo,9,49.99,prevenda
152,complete cossacks 3 experience,0,72.31,padrao
153,ravenswatch,0,59.99,padrao
154,titan souls collectors edition,0,34.99,padrao
155,f.e.a.r. 2 project origin,94,3.5,padrao
156,destiny 2 lightfall,39,90.44,dlc
157,gato roboto,0,16.59,padrao
158,american truck simulator enchanted edition,0,115.26,padrao
159,pure farming 2018  deluxe edition,90,3.99,padrao
160,batman arkham knight  premium edition,85,26.99,padrao
161,mortal kombat 11  aftermath,80,25.99,dlc
162,darksiders warmastered edition,0,34.99,padrao
163,this war of mine,0,36.99,padrao
164,the walking dead season two,0,28.99,padrao
165,little nightmares ii,67,52.63,padrao
166,mortal kombat x  kombat pack 2,85,5.23,dlc
167,conan exiles,0,99.49,padrao
168,inscryption,0,49.99,padrao
169,euro truck simulator 2  cabin accessories,0,11.49,dlc
170,lego indiana jones the original adventures,0,37.99,padrao
171,darksiders iii  deluxe edition,0,93.99,padrao
172,euro truck simulator 2  wheel tuning pack,0,6.49,dlc
173,mega man legacy collection,0,29.99,padrao
174,dredge,0,89.99,padrao
175,castlevania lords of shadow 2  relic rune pack,0,2.19,dlc
176,naruto to boruto  shinobi striker deluxe edition,0,239.9,padrao
177,force of nature 2 ghost keeper,0,30.99,padrao
178,monster hunter rise,0,139.9,padrao
179,euro truck simulator 2  beyond the baltic sea,0,44.99,dlc
180,wolcen lords of mayhem,0,75.49,padrao
181,lego star wars  the complete saga,0,37.99,padrao
182,the walking dead,0,28.99,padrao
183,euro truck simulator 2  high power cargo pack,0,10.49,dlc
184,blair witch,75,14.49,padrao
185,monster hunter world iceborne,0,89.99,dlc
186,devil may cry 5 deluxe + vergil,0,119.99,padrao
