,nome,porcentagem_desconto,preco,tipo
130,lego marvel super heroes,0,89.99,padrao
131,resident evil 2  biohazard re2,76,20.99,padrao
132,dayz,0,119.99,padrao
133,devil may cry 5 + vergil,68,27.99,padrao
134,darkest dungeon the crimson court,0,19.99,dlc
135,resident evil 4,12,218.99,padrao
136,lego city undercover,0,89.99,padrao
137,metal gear solid v ground zeroes,0,36.99,padrao
138,hotline miami 2 wrong number  digital special edition,0,34.99,padrao
139,gta online great white shark cash card,0,35.99,padrao
140,for the king double keys,0,75.98,padrao
141,ultra street fighter iv,87,7.79,padrao
142,devil may cry 4 ediçao especial,72,13.99,padrao
143,pro cycling manager 2022,0,75.49,padrao
144,middleearth shadow of war,0,229.99,padrao
145,mortal kombat 11,0,229.99,padrao
146,resident evil revelations 2 deluxe edition,60,29.99,padrao
147,lego marvel super heroes 2 deluxe edition,0,159.99,padrao
148,ace combat 7 skies unknown,0,159.0,padrao
149,resident evil 4  deluxe edition,12,262.99,padrao
150,metal gear solid v the definitive experience,0,98.99,padrao
151,euro truck simulator,80,2.09,padrao
152,my friend pedro,0,37.99,padrao
153,trailmakers,0,47.49,padrao
154,xbox  cartao presente digital 100 reais,0,100.0,padrao
155,riot points  gift card digital 50 reais,0,50.0,padrao
156,euro truck simulator 2  italia,75,11.24,dlc
157,mega man x legacy collection 2,60,15.99,padrao
158,titan souls,0,24.99,padrao
159,destiny 2 lightfall,39,90.44,dlc
160,dragon ball fighterz  fighterz edition,0,239.9,padrao
161,metal gear rising  revengeance,0,49.99,padrao
162,xbox  cartao presente digital 15 reais,0,15.0,padrao
163,warhammer chaosbane  slayer edition,0,75.49,padrao
164,xbox  cartao presente digital 70 reais,0,70.0,padrao
165,sid meiers civilization vi  platinum edition,0,161.2,padrao
166,thehunter call of the wild,0,37.99,padrao
167,ace combat 7 skies unknown  top gun maverick edition,0,219.9,padrao
168,hogwarts legacy,0,249.99,padrao
169,lego star wars the force awakens  deluxe edition,0,129.99,pacote
170,wolcen lords of mayhem,0,75.49,padrao
171,lego star wars  the complete saga,0,37.99,padrao
172,middleearth shadow of war  the blade of galadriel story expansion,0,44.99,dlc
173,little nightmares,0,79.99,padrao
174,f.e.a.r. 2 project origin,0,69.99,padrao
175,the walking dead,75,7.24,padrao
176,kingdom come deliverance  royal edition,75,17.49,padrao
177,euro truck simulator 2  high power cargo pack,75,2.62,dlc
178,darksiders warmastered edition,0,34.99,padrao
179,captain tsubasa rise of new champions,0,179.9,padrao
180,the lego movie  videogame,0,89.99,padrao
181,one piece pirate warriors 4  deluxe edition,0,239.9,padrao
182,injustice 2  legendary edition,0,279.99,padrao
183,pc building simulator,0,37.99,padrao
184,euro truck simulator 2  cabin accessories,75,2.87,dlc
185,super mombo quest,0,28.99,padrao
186,dandy ace,0,29.99,padrao
187,tom clancys ghost recon  wildlands,0,149.99,padrao
188,tales of zestiria,0,90.99,padrao
189,the walking dead season two,75,7.24,padrao
190,darksiders blade  whip franchise pack,0,148.55,padrao
191,ducktales remastered,75,7.49,padrao
192,star wars  dark forces,0,12.39,padrao
193,tom clancys ghost recon breakpoint,0,179.0,padrao
194,lego batman 3 beyond gotham,0,89.99,padrao
195,euro truck simulator 2  wheel tuning pack,75,1.62,dlc
196,lego indiana jones the original adventures,75,9.49,padrao
197,batman arkham knight,0,89.99,padrao
198,back 4 blood,0,279.99,padrao
199,castlevania lords of shadow 2  relic rune pack,0,2.19,dlc
200,naruto to boruto  shinobi striker deluxe edition,0,239.9,padrao
201,force of nature 2 ghost keeper,0,30.99,padrao
202,forager,0,37.99,padrao
203,castlevania lords of shadow 2  armored dracula costume,0,2.19,dlc
204,bagdex  treinador,0,80.0,prevenda
205,graveyard keeper,0,37.99,padrao
206,star wars knights of the old republic ii  the sith lords,0,19.99,padrao
207,far cry 4,0,89.99,padrao
208,euro truck simulator 2  road to the black sea,60,17.99,dlc
209,castlevania lords of shadow 2  dark dracula costume,0,2.19,dlc
210,lego batman 3 beyond gotham  premium edition,0,159.99,padrao
211,mega man legacy collection,60,11.99,padrao
212,dredge,0,89.99,padrao
213,gato roboto,0,16.59,padrao
214,mortal kombat 11 kombat pack 2,0,59.99,dlc
215,euro truck simulator 2  beyond the baltic sea,60,17.99,dlc
